"","Time","Location","Type.of.bomb","Damage.or.other","lat","lon","district"
"21",1940-09-07 00:34:00,"108 Fordel  Road, Catford, SE6, London, UK","IB","4x3 wodden fence",51.4434907,-0.005707,"Lewisham"
"22",1940-09-07 00:34:00,"138 Engleheart Road, Catford,SE6, London, UK","EB","All private houses damaged",51.4441242,-0.0170541,"Lewisham"
"23",1940-09-07 00:34:00,"Adelaide Avnue, Brockley SE4, London, UK","EB","St. Cyprian's Church, severley damaged by explosive",51.513263,-0.089878,"City of London"
"24",1940-09-07 00:34:00,"Nos 82-184 inclusive, London, UK","EB","Slightly damaged houses.",NA,NA,NA
"25",1940-09-07 00:34:00,"Ivy Lane, Brockley, SE4, London, UK","EB","Slightly damaged houses.",51.48848,-0.078356,"Southwark"
"26",1940-09-07 00:37:00,"Verney Road, Old Kent Road, SE16, London, UK","IB","back room on 1st floor and contents slightly damaged. 40x20, contents damage",51.4835196,-0.0634406543058161,"Southwark"
"27",1940-09-07 00:38:00,"Verney Road, Old Kent Road, SE16, London, UK","IB","IB burned out street",51.4835196,-0.0634406543058161,"Southwark"
"28",1940-09-07 00:40:00,"127 Minard Road, Catford, SE6, London, UK","IB","Front room on 1st floor severely damaged",51.4457241,0.000557,"Lewisham"
"29",1940-09-07 00:40:00,"124 Southwark Park Road, SE16, London, UK","IB","back room on 1st floor and contents slightly damaged.",51.4922483,-0.0621761,"Southwark"
"30",1940-09-07 00:44:00,"613 Old Kent Road Se15, London, UK","IB","Theatre 4 seats slightly damaged 4x2 roof",51.4833419,-0.0646179,"Southwark"
"31",1940-09-07 00:45:00,"709 Old Kent Road SE1, London, UK","IB","30x20 one floor building.",51.513263,-0.089878,"City of London"
"32",1940-09-07 00:45:00,"348 St. James' Road SE1, London, UK","IB",NA,51.513263,-0.089878,"City of London"
"33",1940-09-07 00:47:00,"Sportsbank Street, Catford, SE6., London, UK","EB","Three private houses damaged and three severely damaged",51.4439872,-0.0118096,"Lewisham"
"34",1940-09-07 00:50:00,"101 Storks Road, Bermondsey, SE16, London, UK","EB","4 private houses severely damaged",51.47805145,-0.0648902849775911,"Southwark"
"35",1940-09-07 01:10:00,"91 Ardgowan Road, Catford SE6, London, UK","IB","landing on 1st floor damaged",51.4428804,-0.0009128,"Lewisham"
"36",1940-09-07 01:14:00,"Chadwick road, Peckham, SE15, London, UK","EB.and.IB","Minor fire damage in all these thoroughfares",51.468021,-0.073743,"Southwark"
"37",1940-09-07 01:14:00,"9 Love Walk, Camberwell, SE5, London, UK",NA,"Minor fire damage in all these thoroughfares",51.4713727,-0.088586605863403,"Southwark"
"38",1940-09-07 01:14:00,"27 Claude Road, Peckham SE15, London, UK",NA,"Minor fire damage in all these thoroughfares",51.5355413,0.0269271152620031,"Newham"
"39",1940-09-07 01:14:00,"33 Claude Road, Peckham, SE15, London, UK",NA,"Minor fire damage in all these thoroughfares",51.53536025,0.026970848649354,"Newham"
"40",1940-09-07 01:14:00,"190 Rye Lane, Peckham, SE15, London, UK",NA,"Minor fire damage in all these thoroughfares",51.46708735,-0.0666401881918208,"Southwark"
"41",1940-09-07 01:14:00,"290 Southampton Way, Peckham, SE15, London, UK",NA,"Minor fire damage in all these thoroughfares",51.4770102,-0.0802303,"Southwark"
"42",1940-09-07 01:14:00,"77 Rye Lane, Peckham, SE15, London, UK",NA,"Minor fire damage in all these thoroughfares",51.47123725,-0.0692106773722592,"Southwark"
"43",1940-09-07 01:14:00,"75 Rye Lane, Peckham, SE15, London, UK",NA,"Minor fire damage in all these thoroughfares",51.471275,-0.0692406500000052,"Southwark"
"44",1940-09-07 01:14:00,"66 East Surrey Grove, Peckham SE15, London, UK",NA,"Minor fire damage in all these thoroughfares",51.4783421,-0.0753117,"Southwark"
"45",1940-09-07 01:14:00,"91 Coleman Road, Camberwell, SE5, London, UK",NA,"Minor fire damage in all these thoroughfares",51.4906368,0.1464009,"Bexley"
"46",1940-09-07 01:52:00,"58 Brownhill Road, Catford, London, UK",NA,"IB (unexploded) on enclosed ground at rear of premises",51.4456825,-0.0156626,"Lewisham"
"47",1940-09-07 02:00:00,"7 Nunhead Green, Camberwell, SE15, London, UK","EB","house of 5 rooms and content severely damaged",51.465096,-0.0593089,"Southwark"
"48",1940-09-07 02:16:00,"727, Old Kent Road, Camberwell, SE15, London, UK","IB","shop (bakery) and house of 6 rooms back room, ceiling and roof damaged.",51.4810956,-0.0603219,"Southwark"
"49",1940-09-07 02:16:00,"52 Brownhill Road , London, UK",NA,"Falling Shrapnel",51.4457213,-0.015952,"Lewisham"
"50",1940-09-07 02:20:00,"84 Tressillain Road, Brockley SE4, London, UK",NA,"Falling Shrapnel",51.47053745,-0.0416845729513061,"Lewisham"
"51",1940-09-07 02:23:00,"83 Grange Road, Bermondsey, SE1, London, UK","IB","Grocer: front room 1st floor and contents slightly damaged. 4x2 roof damaged",51.51011055,-0.299882608462282,"Ealing"
"52",1940-09-07 02:25:00,"52 Southwark Park Road, SE16, London, UK","IB","Furniture dealer 30x20 building and contents damaged",51.4922483,-0.0621761,"Southwark"
"53",1940-09-07 02:49:00,"Prince Edward Road, E9, London, UK","EB","Roadway and 3 private houses damaged",51.5442637,-0.0251806,"Hackney"
"54",1940-09-07 03:15:00,"12, Jewell Street, Mile End. E1, London, UK","IB","6 x 4ft of roof damage.",51.525053,-0.040442,"Tower Hamlets"
"55",1940-09-07 03:45:00,"12 Harford St, Stepney E1, London, UK","IB","a building of 3 floors about 80 x 50ft and contents severely damaged",51.5229641,-0.0399405,"Tower Hamlets"
"56",1940-09-07 05:15:00,"Hazelbank Road, Catford SE6, London, UK",NA,"2x2 roadway damage",51.513263,-0.089878,"City of London"
"57",1940-09-07 05:15:00,"Plough Way, SE16, London, UK","IB","Timber importers, 200x150 buildings, canteen, workshops etc, dmaged,",51.491796,-0.04489,"Southwark"
"58",1940-09-07 05:20:00,"Plough Way, SE16, London, UK","EB","Buildings damaged",51.491796,-0.04489,"Southwark"
"59",1940-09-07 05:57:00,"28 Ringstead Road, Catford, SE6, London, UK",NA,"2x2 roadway damage",51.446479,-0.0167421970837491,"Lewisham"
"60",1940-09-07 07:49:00,"786 Old Kent Road, Camberwell, SE15, London, UK","IB","shop (tobacconist) and house of 6 rooms back room, ceiling and roof damaged.",51.4797844,-0.0573263,"Southwark"
"61",1940-09-07 08:00:00,"7, Devonshire Grove, SE15, London, UK","IB","maritime engineers building of two floors 80x60 severely damaged.",51.4810503,-0.0592771,"Southwark"
"62",1940-09-07 08:00:00,"Bromley Road, Catford, SE6, London, UK","IB","IB on enclosed ground",51.4065912,-0.0006685,"Bromley"
"63",1940-09-07 08:02:00,"42 Brown Hill Road, Catford, SE6, London, UK",NA,"2x2 roadway damage",51.513263,-0.089878,"City of London"
"64",1940-09-07 10:04:00,"39 Loampit Vale, Lewisham SE13, London, UK",NA,"unexploded bomb on enclosed ground at rear of premises",51.4645495,-0.0142095,"Lewisham"
"65",1940-09-07 10:04:00,"19 Vivian Roan, Bethnal Green E2, London, UK","IB","4x3 ft of wooden fencing damaged in yard",51.526864,-0.058509,"Tower Hamlets"
"66",1940-09-07 10:42:00,"Milton Court Road, New Cross, Se14, London, UK","IB","IB burned out in street",51.480914,-0.036679,"Lewisham"
"67",1940-09-07 12:00:00,"39 Gilmore Road, Lewisham SE13, London, UK",NA,"unexplodedbomb on enclosed ground at rear of premises",51.46042295,-0.00659353744131003,"Lewisham"
"68",1940-09-07 12:45:00,"3 Drivers Buildings, Mile End Rd E1, London, UK","IB","House of 4 rooms, top floor and contents damaged. Part of roof off",51.509648,-0.099076,NA
"69",1940-09-07 13:34:00,"110, Skidmore Street, London, UK","IB","Front room on first floor and contents damaged. 3 x 2ft of roof breakage",51.513263,-0.089878,"City of London"
"70",1940-09-07 14:55:00,"Royal Arsenal, Woolwich, SE18, London, UK","EB.and.IB","(Owned by H.M War Department) E.50 A building of 2 floors about 300x200 used as workrooms,, machine rooms office and store damaged by explosion",51.499992,0.028734,"Newham"
"71",1940-09-07 14:55:00,"Royal Arsenal, Woolwich, SE18, London, UK","EB.and.IB","E.51 Two floor building 200x80, where insturments were stored severely damaged",51.499992,0.028734,"Newham"
"72",1940-09-07 14:55:00,"Royal Arsenal, Woolwich, SE18, London, UK","EB.and.IB","E.2, 3, 6 and 7, A over a two acre factory space was severely damaged, demolished",51.499992,0.028734,"Newham"
"73",1940-09-07 14:55:00,"Royal Arsenal, Woolwich, SE18, London, UK","EB.and.IB","E.40 a two floor storage building 120x80 severely damaged",51.499992,0.028734,"Newham"
"74",1940-09-07 14:55:00,"Royal Arsenal, Woolwich, SE18, London, UK","EB.and.IB","D.94, 95 and 96 A range of buildings of one and two floors used as turney, forges and store, severely damaged.",51.499992,0.028734,"Newham"
"75",1940-09-07 14:55:00,"Royal Arsenal, Woolwich, SE18, London, UK","EB.and.IB","E.135 and 136, 400x400 buildings used as laboratories and store severely damaged",51.499992,0.028734,"Newham"
"76",1940-09-07 14:55:00,"Royal Arsenal, Woolwich, SE18, London, UK","EB.and.IB","E.151 to 164A, 14 buildings each about 450x60 used as stores, large amount of stock on open ground covering about a quarter square mile, severely damaged",51.499992,0.028734,"Newham"
"77",1940-09-07 14:55:00,"Royal Arsenal, Woolwich, SE18, London, UK","EB.and.IB","24 buiidings all slightly damaged",51.499992,0.028734,"Newham"
"78",1940-09-07 14:55:00,"Royal Arsenal, Woolwich, SE18, London, UK","EB.and.IB","E.2, a range of buildings damaged covering 250x100. Area used as explosive works and stores, severely damaged.",51.499992,0.028734,"Newham"
"79",1940-09-07 14:55:00,"Royal Arsenal, Woolwich, SE18, London, UK","EB.and.IB","A.75 A building of 4 floors and basement 250 x200 used as offices and stores amaged",51.499992,0.028734,"Newham"
"80",1940-09-07 14:55:00,"Royal Arsenal, Woolwich, SE18, London, UK","EB.and.IB","E.31a  two floor 150x60 storage building damaged",51.499992,0.028734,"Newham"
"81",1940-09-07 14:55:00,"Royal Arsenal, Woolwich, SE18, London, UK","EB.and.IB","Total casualties, 49 males killed, 67 males injured.",51.499992,0.028734,"Newham"
"82",1940-09-07 16:14:00,"Bolsoms Ltd.(Furnishing Co.) Lewisham High Street, SE13, London, UK","IB","Bolsom Bro's, Furniture shop: 100x40 two floor building, used as showrooms severley damaged",51.4512271,-0.0168649,"Lewisham"
"83",1940-09-07 16:20:00,"Chiesmans Depository, Lewisham High Street, SE13, London, UK","IB","universal providers: 100x30 three floor building severely damaged",51.4512271,-0.0168649,"Lewisham"
"84",1940-09-07 16:40:00,"Newby Place, Poplar E14, London, UK","IB","Poplar Public Hall. Building of 2 floors 80x60 . 5/6 Severely damaged, most of roof off.",51.5109421,-0.0123666,"Tower Hamlets"
"85",1940-09-07 16:57:00,"Old Tram Yard, Lakedale Road, Plumstead, SE18, London, UK","EB","120x100 of garage, stables, an stores and contents, including two cars damaged. Two horses killed. Range of buildings and one floor 350x70  contents and stored damaged.",51.485125,0.091106,"Greenwich"
"86",1940-09-07 16:57:00,"Old Tram Yard, Lakedale Road, Plumstead, Se18, London, UK","EB","A surface air raid shelter of 40x20 damaged",51.485125,0.091106,"Greenwich"
"87",1940-09-07 16:57:00,"Lakedale Road and plumstead High Street SE18, London, UK","EB","Two people killed, several injured. Buildingd damaged.",NA,NA,NA
"88",1940-09-07 17:03:00,"70 Croft Street Deptford, SE8, London, UK","IB","back rooms 1st floor damaged",51.490719,-0.041201,"Lewisham"
"89",1940-09-07 17:03:00,"41 Windmill Lane, Deptford, Se8, London, UK","EB","Dairy shop and 15 private houses damaged",51.5455596,0.0020207,"Newham"
"90",1940-09-07 17:05:00,"61 Basildon Road Abbey Wood, SE2, London, UK","EB","2 private houses damaged",51.4860733,0.1071688,"Greenwich"
"91",1940-09-07 17:05:00,"35 Basildon Road, Abbey Wood, SE2, London, UK","EB","41 private houses damaged.",51.4860733,0.1071688,"Greenwich"
"92",1940-09-07 17:05:00,"Basildon Road, Abbey Wood, SE2, London, UK","EB","South Met Gas Company, 18"" gas main, 20 ft of electric cables, 30x20 roadway damage.",51.485757,0.107042,"Greenwich"
"93",1940-09-07 17:07:00,"Cordelia Street, Poplar E14, London, UK","IB","Number of IB burned out on road",51.5136991,-0.01804,"Tower Hamlets"
"94",1940-09-07 17:07:00,"13 Cordelia Street, Poplar, E14, London, UK","IB","House of 6 rooms and contents severely damaged",51.5136975,-0.0193196,"Tower Hamlets"
"95",1940-09-07 17:12:00,"Poplar High Street, Poplar, E14, London, UK","EB","St. Mathias Church. 30x20 paveing damaged. 40 feet of brink and some iron railings damaged",51.5088801,-0.0135081,"Tower Hamlets"
"96",1940-09-07 17:12:00,"The Vicarage, Poplar, E14, London, UK","EB","Damaged by explosion",51.54028335,-0.0589264469122657,"Hackney"
"97",1940-09-07 17:15:00,"Colin Street, Bromley-By-Bow E3, London, UK","IB","12 private houses of about 6 rooms and contents severely damaged",51.513263,-0.089878,"City of London"
"98",1940-09-07 17:15:00,"Empson St, Bromley-By-Bow E3, London, UK","IB","Berger Hall Central Church and Medical Mission back building of 1 and 2 floors about 70 x 50ft (used as Mission Hall) and contents severely damaged. Collapsed and fallen down",51.5221616,-0.0131847,"Tower Hamlets"
"99",1940-09-07 17:15:00,"Marner St School, Marner Street E3, London, UK","IB","A building of 3 floors about 150 x 80 feet about 2/3 of contents severely damaged. Most part of roof off. doors and window glass damaged by breakage",51.509648,-0.099076,NA
"100",1940-09-07 17:15:00,"St. Leonards Wharf, Bromley E3, London, UK","IB","Unoccupied Sun Flour Mills Co. LTD. About 30 x 20 ft of deck planking damaged. Building of 3 floors about 80 x 60 ft( used as grain store) about 3/4 severely damaged. Most part of roof off.",51.518572,-0.010074,"Tower Hamlets"
"101",1940-09-07 17:15:00,"242 Brunswick Rd, Poplar, E14, London, UK","IB","Wine and Spirit Merchants. Building of 3 floors about 80x 40ft used as bottling stores. 4/5 of 3rd floor and contents severely damaged. Most part of roof off.",51.63122445,-0.149851287137655,"Barnet"
"102",1940-09-07 17:15:00,"242, Brunswick Rd, Poplar, E14, London, UK","IB","One half of 2nd floor slightly damaged by water, window glass damaged by breakage.",51.63122445,-0.149851287137655,"Barnet"
"103",1940-09-07 17:15:00,"240 Brunswick Rd, Poplar, E14, London, UK","IB","Wine Growers- Building of 3 floors about 300x 60ft ( used as wine stores) about 2/3 of top floor and contents severely damaged. Most part of roof off. Contents under slightly by water.",51.6311802,-0.14981092761902,"Barnet"
"104",1940-09-07 17:15:00,"240 Brunswick Rd, Poplar, E14, London, UK","IB","A building of 4 floors about 100 x 60 ft, fourth floor severely damaged. Most part of roof off.",51.6311802,-0.14981092761902,"Barnet"
"105",1940-09-07 17:15:00,"Empson St Bromley E3, London, UK","IB","About 200 tons of electric power cable and a quantity of electric apparatus damaged.",51.5221616,-0.0131847,"Tower Hamlets"
"106",1940-09-07 17:15:00,"Colin Street, Bromley-By-Bow, E3, London, UK","IB","Timber yard of 15 acres with 200 stacks of timber, 2dumb barges, 2 motor lorries, a tractor, 4 cars, and a range of 1-4 floor buildings, (used as workspace, sawmills, offices, canteens, garages and stores). About 5/6 severely damaged and part roof off.",51.513263,-0.089878,"City of London"
"107",1940-09-07 17:23:00,"Friendsliy Place, Greenwhich SE10, London, UK","EB","A. Gilbey & Sons, printing and ink manufacturers. Workshopds office and storage damaged",51.504582,-0.021587,"Tower Hamlets"
"108",1940-09-07 17:24:00,"26, Bruce Road, Poplar, Greater London E3 3, London, UK","IB","House of 8 rooms, first floor and contents slightly damaged. Contents under slightly by water, doors and window glass by breakage.",51.5268502,-0.0147961,"Tower Hamlets"
"109",1940-09-07 17:24:00,"141 Albert Road, North Woolwich E16, London, UK","IB","Coal Dealers. Four shops and houses of 6 rooms each and contents, severely damaged, and roofs off",51.49990165,0.0628759726215301,"Newham"
"110",1940-09-07 17:24:00,"143 Albert Road, North Woolwich E16, London, UK","IB","Coal Dealers. Four shops and houses of 6 rooms each and contents, severely damaged, and roofs off",51.49990165,0.0628759726215301,"Newham"
"111",1940-09-07 17:24:00,"145 Albert Road, North Woolwich E16, London, UK","IB","Coal Dealers. Four shops and houses of 6 rooms each and contents, severely damaged, and roofs off",51.5000059,0.0623362,"Newham"
"112",1940-09-07 17:24:00,"147 Albert Road, North Woolwich E16, London, UK","IB","Coal Dealers. Four shops and houses of 6 rooms each and contents, severely damaged, and roofs off",51.5000015,0.0623881,"Newham"
"113",1940-09-07 17:30:00,"9 Sevenoaks Road Brokerley SE4, London, UK","IB","IB burned out in garden",51.513263,-0.089878,"City of London"
"114",1940-09-07 17:30:00,"11 Sevenoaks Road, Brockley, SE4, London, UK","IB","Front room on 1st floor severely damaged",51.453017,-0.0374166507340226,"Lewisham"
"115",1940-09-07 17:30:00,"Bruce RD, Bromley E3, London, UK","IB","IB bomb burned out on road",51.5268502,-0.0147961,"Tower Hamlets"
"116",1940-09-07 17:31:00,"459 Brockley Road, Brocklet SE4, London, UK","IB","Shop and house of 8 rooms  damaged",51.4537564,-0.0380405,"Lewisham"
"117",1940-09-07 17:31:00,"Bruce RD, Bromley E3, London, UK","IB","IB bomb burned out on road",51.5268502,-0.0147961,"Tower Hamlets"
"118",1940-09-07 17:31:00,"46 Bruce Rd, Bromley E3, London, UK","IB","House of 8 rooms, 2 back rooms on first floor and contents slightly damaged.",51.526941,-0.0150222152934729,"Tower Hamlets"
"119",1940-09-07 17:33:00,"142 Foxberry Road, Brockley, SE4, London, UK","IB","Back room on 1st floor and contents damaged",51.4613516,-0.0360347,"Lewisham"
"120",1940-09-07 17:34:00,"75 ComerfordRoad Brockley se4, London, UK","IB","IB on enclosed ground at rear of premises",51.513263,-0.089878,"City of London"
"121",1940-09-07 17:35:00,"Royal Arsenal, Woolwich, SE18, London, UK","EB.and.IB","Many buildings in there sections damaged by explosion and fire",51.499992,0.028734,"Newham"
"122",1940-09-07 17:35:00,"Creek Bridge, Creek Road, Greenwich SE10, London, UK","EB","Owned by London County Council10x6 of carriage way",51.4809748,-0.0209403,"Greenwich"
"123",1940-09-07 17:35:00,"Three Mill Lane, Greater London E3 3, London, UK","IB","A number of IB bombs burned out on road",51.5269713,-0.0106455,"Tower Hamlets"
"124",1940-09-07 17:36:00,"Edward Street SE14, London, UK","COB","4x6 roadway and paving damage",51.4804416,-0.031305,"Lewisham"
"125",1940-09-07 17:36:00,"35 Colwick Street Deptford SE8, London, UK","EB","front room on 1st floor damaged.",51.513263,-0.089878,"City of London"
"126",1940-09-07 17:36:00,"Deptford Park, Evelyn Street, Deptford, SE8, London, UK","IB","Many IB burnt out in park",51.4900316,-0.0421094,"Lewisham"
"127",1940-09-07 17:40:00,"Church hill Woolwich, SE18, London, UK","IB","Minor fire damage in all these thoroughfares",51.493177,0.057874,"Greenwich"
"128",1940-09-07 17:40:00,"Kingsman Street, Woolwich, SE18, London, UK","IB","Minor fire damage in all these thoroughfares",51.490861,0.057876,"Greenwich"
"129",1940-09-07 17:40:00,"Sunsbury Street, Woolwich SE18, London, UK","IB","Minor fire damage in all these thoroughfares",51.522256,0.0588030830188647,"Newham"
"130",1940-09-07 17:40:00,"Glenalvon Street, Woolwich SE18, London, UK","IB","Minor fire damage in all these thoroughfares",51.4690905,-0.0221846,"Lewisham"
"131",1940-09-07 17:40:00,"Woolwich Church Street, Woolwich SE18, London, UK","IB","Minor fire damage in all these thoroughfares",51.493529,0.058969,"Greenwich"
"132",1940-09-07 17:40:00,"Artillery Place, Wollwich SE18, London, UK","IB","Minor fire damage in all these thoroughfares",51.499803,0.035472,"Newham"
"133",1940-09-07 17:40:00,"Powis Street, Woolwich SE18, London, UK","IB","Minor fire damage in all these thoroughfares",51.491928,0.064748,"Greenwich"
"134",1940-09-07 17:40:00,"Chapel Hill, Woolwich SE18, London, UK","IB","Minor fire damage in all these thoroughfares",51.490938,0.064657,"Greenwich"
"135",1940-09-07 17:40:00,"Woolwich high Street, Woolwich SE18, London, UK","IB","Minor fire damage in all these thoroughfares",51.493851,0.065846,"Greenwich"
"136",1940-09-07 17:40:00,"John Wilson Street, Woolwich SE18, London, UK","IB","Minor fire damage in all these thoroughfares",51.487759,0.063095,"Greenwich"
"137",1940-09-07 17:40:00,"Plumstead Road, Woolwich SE18, London, UK","IB","Minor fire damage in all these thoroughfares",51.491073,0.0804436,"Greenwich"
"138",1940-09-07 17:40:00,"Paradise Place Woolwich SE18, London, UK","IB","Minor fire damage in all these thoroughfares",51.489484,0.050086,"Greenwich"
"139",1940-09-07 17:41:00,"14, Three Mill Lane, Greater London, E3, London, UK","IB","House of 8 rooms, front and middle room on first floor and contents damaged.",51.526895,-0.00958,"Tower Hamlets"
"140",1940-09-07 17:42:00,"1 Reeves Road, Bow, E3, London, UK","IB","House of 4 rooms, severely damaged",51.5240135,-0.0155665,"Tower Hamlets"
"141",1940-09-07 17:43:00,"Ebenezer Place, Chrisp Street, Poplar, E14, London, UK","EB","30x20 roadway and paving damaged. Electric power cables destroyed",51.5146181,-0.0146965,"Tower Hamlets"
"142",1940-09-07 17:43:00,"120 Chrisp Street, Poplar, E14, London, UK","EB","Shop and house of 7 rooms  and contents severely damaged",51.5147044,-0.0145656,"Tower Hamlets"
"143",1940-09-07 17:44:00,"Wotton Way, Deptford, SE8, London, UK","IB","IB burned out in street",51.513263,-0.089878,"City of London"
"144",1940-09-07 17:45:00,"18 Sevenoaks Road, Crofton park, SE4, London, UK","IB","Front room on 1st floor severely damaged",51.4525444,-0.0374563,"Lewisham"
"145",1940-09-07 17:45:00,"8 Sevenoaks Road Crofton Park, SE4, London, UK","IB","Front room on 1st floor severely damaged",51.45267185,-0.0378372107115657,"Lewisham"
"146",1940-09-07 17:45:00,"112 Foxberry Road, Brockley, London, UK","IB","front room above shop and contents damaged",51.4613516,-0.0360347,"Lewisham"
"147",1940-09-07 17:45:00,"Reeves Road, Bow, E3, London, UK","IB","Number of IB burned out on road",51.5233558,-0.0156874,"Tower Hamlets"
"148",1940-09-07 17:45:00,"4 Pier Road, North Woolwich, E16 , London, UK","IB","Front room on 1st floor and contents damaged.",51.5004451,0.0633357,"Newham"
"149",1940-09-07 17:46:00,"Royal Dockyard, Woolwich, London, UK","EB.and.IB","HM War Dept. Block 47- A building og three floors about 250 x 80 used as store and contents damaged",51.4913623,0.0696068563413751,"Greenwich"
"150",1940-09-07 17:46:00,"Royal Dockyard, Woolwich, London, UK","EB.and.IB","Block 49- Abuilding of 2 floors 250x60 storage damaged.",51.4913623,0.0696068563413751,"Greenwich"
"151",1940-09-07 17:46:00,"Royal Dockyard, Woolwich, London, UK","EB.and.IB","Block 52- 80x50 two floor building, used as acid store severely damaged",51.4913623,0.0696068563413751,"Greenwich"
"152",1940-09-07 17:46:00,"Royal Dockyard, Woolwich, London, UK","EB.and.IB","Block 67 three floor 150x60 roof and contents damaged",51.4913623,0.0696068563413751,"Greenwich"
"153",1940-09-07 17:46:00,"Royal Dockyard, Woolwich, London, UK","EB.and.IB","Block 221, 50x40 office and store damaged. Roof off",51.4913623,0.0696068563413751,"Greenwich"
"154",1940-09-07 17:46:00,"Royal Dockyard, Woolwich, London, UK","EB.and.IB","Block 149 50x40 used as dwelling and store severely damaged and part of roof off.",51.4913623,0.0696068563413751,"Greenwich"
"155",1940-09-07 17:46:00,"Royal Dockyard, Woolwich, London, UK","EB.and.IB","Two timber shed buildings  each 20x10, two railway trucks and contents damaged",51.4913623,0.0696068563413751,"Greenwich"
"156",1940-09-07 17:46:00,"Royal Dockyard, Woolwich, London, UK","EB.and.IB","Bloock 225- 80x50 one floor building , used as workrooms and store",51.4913623,0.0696068563413751,"Greenwich"
"157",1940-09-07 17:46:00,"Royal Dockyard, Woolwich, London, UK","EB.and.IB","Motor lorry damaged by fire",51.4913623,0.0696068563413751,"Greenwich"
"158",1940-09-07 17:46:00,"Commonwealth Buildings, Woolwich Curch Street, SE18, London, UK","EB.and.IB","Two floor building 100x 40, used as work rooms, top floor and contents damaged",51.492011,0.070431,"Greenwich"
"159",1940-09-07 17:46:00,"Commonwealth Buildings, Woolwich Curch Street, SE18, London, UK","EB.and.IB","One floor building 60x40 ft used as workroom office and store",51.492011,0.070431,"Greenwich"
"160",1940-09-07 17:46:00,"Commonwealth Buildings, Woolwich Curch Street, SE18, London, UK","EB.and.IB","A house of 7 rooms, top floor and contents severely damaged art of roof off",51.492011,0.070431,"Greenwich"
"161",1940-09-07 17:46:00,"Commonwealth Buildings, Woolwich Curch Street, SE18, London, UK","EB.and.IB","Storage building of one floor 60x20",51.492011,0.070431,"Greenwich"
