original_,original_Location,lat,lon,formatted,housenumber,name,street,postcode,district,suburb,county_code,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
11,"124 Stebondale Street, Cubitt Town, E14, London, UK",51.4883121,-0.0094641,"Stebondale Street, London, E14 3DQ, United Kingdom",,Stebondale Street,Stebondale Street,E14 3DQ,London Borough of Tower Hamlets,Isle of Dogs,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12,"Purcell Place, Hackney, E9, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
13,"Commercial RD, E, London, UK",51.5153402,-0.0703093,"Commercial Road, London, E1 7PE, United Kingdom",,Commercial Road,Commercial Road,E1 7PE,London Borough of Tower Hamlets,Whitechapel,,London,Greater London,England,ENG,United Kingdom,gb,0.8590909090909091,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
14,"171, St. Asaph's Road, Brokerly SE4, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
15,"28 Harcourt Road, Brockley, SE4, London, UK",51.533016599999996,0.011300114903845693,"28 Harcourt Road, London, E15 3DX, United Kingdom",28,,Harcourt Road,E15 3DX,London Borough of Newham,West Ham,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
16,"Amesbury Avenue, Streatham, SW16, London, UK",51.4383833,-0.1252045,"Amesbury Avenue, London, SW2 4UE, United Kingdom",,Amesbury Avenue,Amesbury Avenue,SW2 4UE,London Borough of Lambeth,Streatham Hill,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
17,"Bancroft Rd, Tower Hamlets, London E1, London, UK",51.5257197,-0.0478664,"Bancroft Road, London, E1 4BS, United Kingdom",,Bancroft Road,Bancroft Road,E1 4BS,London Borough of Tower Hamlets,Stepney,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
18,"86 Ernest Street, Stepney E1, London, UK",51.5212984,-0.0433379,"Ernest Street, London, E1 4QT, United Kingdom",,Ernest Street,Ernest Street,E1 4QT,London Borough of Tower Hamlets,Stepney,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
19,"Pier Road, North Woolwich, E16, London, UK",51.4984784,0.0597035,"Pier Road, London, E16 2ZD, United Kingdom",,Pier Road,Pier Road,E16 2ZD,London Borough of Newham,North Woolwich,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
20,"Wearside Road, Lewisam, SE13, London, UK",51.457977,-0.016115,"Wearside Road, London, S E13, United Kingdom",,,Wearside Road,S E13,Lewisham,Lewisham,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
21,"Furze Street E3, London, UK",51.5182829,-0.021832,"Furze Street, London, E3 3RY, United Kingdom",,Furze Street,Furze Street,E3 3RY,London Borough of Tower Hamlets,Poplar,,London,Greater London,England,ENG,United Kingdom,gb,0.6666666666666667,1,0.6666666666666667,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
22,"Eaton Place E9, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
23,"Silk Mills Path, Lewisham SE13, London, UK",51.465896,-0.012456,"Silk Mills Path, London, S E13, United Kingdom",,,Silk Mills Path,S E13,Lewisham,Lewisham,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
24,"86 Ernest Street, Stepney E1, London, UK",51.5212984,-0.0433379,"Ernest Street, London, E1 4QT, United Kingdom",,Ernest Street,Ernest Street,E1 4QT,London Borough of Tower Hamlets,Stepney,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
25,"60 Buckhill Road, Eltham, SE9, London, UK",51.451184,0.050318,"Eltham, London, ENG, United Kingdom",,Eltham,,,Greenwich,Eltham,,London,Greater London,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
26,"Canadian Produce Warehouse, Swedish Yard, Surrey, Commercial Docks, SE16, London, UK",51.499399,-0.1273910483333311,"Westminster Abbey, 20 Dean's Yard, London, SW1P 3PA, United Kingdom",20,Westminster Abbey,Dean's Yard,SW1P 3PA,,Millbank,,London,Greater London,England,ENG,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
27,"55, Glengarnock Avenue, Cubitt town E14, London, UK",51.4892166,-0.0081776,"Glengarnock Avenue, London, E14 3NF, United Kingdom",,Glengarnock Avenue,Glengarnock Avenue,E14 3NF,London Borough of Tower Hamlets,Isle of Dogs,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
28,"45, Glengarnock Avenue, Cubitt town E14, London, UK",51.4892166,-0.0081776,"Glengarnock Avenue, London, E14 3NF, United Kingdom",,Glengarnock Avenue,Glengarnock Avenue,E14 3NF,London Borough of Tower Hamlets,Isle of Dogs,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
29,"34, Glengarnock Avenue, Cubbit town E14, London, UK",51.4892166,-0.0081776,"Glengarnock Avenue, London, E14 3NF, United Kingdom",,Glengarnock Avenue,Glengarnock Avenue,E14 3NF,London Borough of Tower Hamlets,Isle of Dogs,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
30,"1 Pennyfields, London, UK
Poplar, London E14 8, London, UK",51.509710999999996,-0.024971478593307082,"LA’Chi, 1 Pennyfields, London, E14 8HP, United Kingdom",1,LA’Chi,Pennyfields,E14 8HP,London Borough of Tower Hamlets,Poplar,,London,Greater London,England,ENG,United Kingdom,gb,0.7,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
31,"Manchester Road, Cubitt Town E14, London, UK",51.5008976,-0.0088069,"Manchester Road, London, E14 9ST, United Kingdom",,Manchester Road,Manchester Road,E14 9ST,London Borough of Tower Hamlets,Blackwall,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
32,"Hornlane East, Greenwich SE10, London, UK",51.47625705,-0.018512030085527813,"Block E, 81 Greenwich High Road, London, SE10 8JL, United Kingdom",81,Block E,Greenwich High Road,SE10 8JL,Royal Borough of Greenwich,Greenwich,,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
33,"Commercial RD, E, London, UK",51.5153402,-0.0703093,"Commercial Road, London, E1 7PE, United Kingdom",,Commercial Road,Commercial Road,E1 7PE,London Borough of Tower Hamlets,Whitechapel,,London,Greater London,England,ENG,United Kingdom,gb,0.8590909090909091,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
34,"Glenarm Road, Clapton, E5, London, UK",51.5529461,-0.0470179,"Glenarm Road, London, E5 0FF, United Kingdom",,Glenarm Road,Glenarm Road,E5 0FF,London Borough of Hackney,Homerton,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
35,"Butcher Row. Cable Street- Stepney E1, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
36,"Belford Grove, Woolwich, SE18, London, UK",51.48817,0.060545,"Belford Grove, London, S E18, United Kingdom",,,Belford Grove,S E18,Greenwich,Woolwich,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
37,"Parry Place Woolwich Se18, London, UK",51.49049,0.072048,"Parry Place, London, S E18, United Kingdom",,,Parry Place,S E18,Greenwich,Woolwich,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
38,"Burrage Road SE18, London, UK",51.487284,0.073562,"Burrage Road, London, S E18, United Kingdom",,,Burrage Road,S E18,Greenwich,Plumstead,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
39,"Corborn Street, London, E3 2AB, London, UK",51.5811716,-0.0322047,"St James Street, Courtenay Mews, London, E17 7BL, United Kingdom",,St James Street,Courtenay Mews,E17 7BL,London Borough of Waltham Forest,Leyton,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
40,"50 Ordnance Crescent, Greenwich SE10, London, UK",51.5009845,0.0013941,"Ordnance Crescent, London, SE10 0QH, United Kingdom",,Ordnance Crescent,Ordnance Crescent,SE10 0QH,Royal Borough of Greenwich,Greenwich Peninsula,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
41,"Canada yard, Surrey, Commercial Docks, SE16, London, UK",51.499399,-0.1273910483333311,"Westminster Abbey, 20 Dean's Yard, London, SW1P 3PA, United Kingdom",20,Westminster Abbey,Dean's Yard,SW1P 3PA,,Millbank,,London,Greater London,England,ENG,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
42,"40 and 42 Blackthorn Street Bow, E3, London, UK",51.5206879,-0.0199328,"Blackthorn Street, London, E3 3PW, United Kingdom",,Blackthorn Street,Blackthorn Street,E3 3PW,London Borough of Tower Hamlets,Poplar,,London,Greater London,England,ENG,United Kingdom,gb,0.33333333333333337,1,0.6666666666666667,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
43,"Folly House Barge Roads, Blackwall Reach, E, London, UK",51.4950847,-0.0057091072282644175,"Kelson Beach, Isle of Dogs, London, ENG, United Kingdom",,Kelson Beach,,,London Borough of Tower Hamlets,Isle of Dogs,,London,Greater London,England,ENG,United Kingdom,gb,0.9,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
44,"Barnes Street. Redmond Lane. Old Church Road. Head Street. Caroline Street- Stepney E1, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
45,"Princes Rise, Lewisham, SE13, London, UK",51.467981,-0.01021,"Princes Rise, London, S E13, United Kingdom",,,Princes Rise,S E13,Lewisham,Blackheath,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
46,"Lewisham Hill, Lewisham SE13, London, UK",51.467444,-0.009275,"Lewisham Hill, London, S E13, United Kingdom",,,Lewisham Hill,S E13,Lewisham,Blackheath,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
47,"Durham Row, Tower Hamlets London E1 ONP, London, UK",51.5173916,-0.0402804,"Durham Row, London, E1 0NP, United Kingdom",,Durham Row,Durham Row,E1 0NP,London Borough of Tower Hamlets,Stepney,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
48,"19 Boyne Road, Lewisham, SE13, London, UK",51.4643426,-0.0065891,"Boyne Road, London, SE13 5AW, United Kingdom",,Boyne Road,Boyne Road,SE13 5AW,London Borough of Lewisham,Ladywell,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
49,"Upper Quebec Yard, Surrey, Se16, London, UK",51.41505,-0.0927,"Upper Norwood, London, ENG, United Kingdom",,Upper Norwood,,,Croydon,Upper Norwood,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,CC BY 4.0,https://www.geonames.org/datasources/
50,"102 West Ferry Road, Millwall E14, London, UK",51.490135,-0.020035,"Millwall, London, ENG, United Kingdom",,Millwall,,,Tower Hamlets,Millwall,,London,Greater London,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
51,"102 West Ferry Road, Millwall E14, London, UK",51.490135,-0.020035,"Millwall, London, ENG, United Kingdom",,Millwall,,,Tower Hamlets,Millwall,,London,Greater London,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
52,"104 West Ferry Road, Millwall E14, London, UK",51.490135,-0.020035,"Millwall, London, ENG, United Kingdom",,Millwall,,,Tower Hamlets,Millwall,,London,Greater London,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
53,"Glengall Wharf, Millwall E14, London, UK",51.48239465,-0.07277235234044431,"Glengall Wharf Gardens, Old Kent Road, London, ENG, United Kingdom",,Glengall Wharf Gardens,,,London Borough of Southwark,Old Kent Road,,London,Greater London,England,ENG,United Kingdom,gb,0.9,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
54,"Union Road, Millwall E14, London, UK",51.4692589,-0.1308578,"Union Road, London, SW4 6JG, United Kingdom",,Union Road,Union Road,SW4 6JG,London Borough of Lambeth,Stockwell,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
55,"Lying at Lollar Wharf, London, UK",51.411788,-0.307989,"Buckland's Wharf, London, United Kingdom",,,Buckland's Wharf,,Kingston upon Thames,,,London,Greater London,England,ENG,United Kingdom,gb,0.45,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
56,"Hutchings Wharf, Hutchings street, West Ferry Road, Millwall E14, London, UK",51.430014549999996,-0.323323672685084,"Quay West Court, Ferry Road, London, TW11 9NH, United Kingdom",,Quay West Court,Ferry Road,TW11 9NH,London Borough of Richmond upon Thames,Ham,,London,Greater London,England,ENG,United Kingdom,gb,0.9,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
57,"Pelican Passage, Cambridge Heath Road, E1, London, UK",51.5343252,-0.057293,"Cambridge Heath Road, London, E2 9FS, United Kingdom",,Cambridge Heath Road,Cambridge Heath Road,E2 9FS,London Borough of Tower Hamlets,Bethnal Green,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
58,"Whitman Road, Bow E3, London, UK",51.5244436,-0.0369173,"Whitman Road, London, E3 4RB, United Kingdom",,Whitman Road,Whitman Road,E3 4RB,London Borough of Tower Hamlets,Mile End,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
59,"Walker Street, E14, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
60,"3 Orchard Place, Blackheath, SE3, London, UK",51.3966067,0.11533128109756152,"3 Main Road, London, BR5 3EP, United Kingdom",3,,Main Road,BR5 3EP,London Borough of Bromley,St Paul's Cray,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
61,"Walter Terrace, Poplar, Greater London, E1 , London, UK",51.5157822,-0.0437493,"Walter Terrace, London, E1 0RG, United Kingdom",,Walter Terrace,Walter Terrace,E1 0RG,London Borough of Tower Hamlets,Stepney,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
62,"198 Lewisham High Street, Lewisham, SE13, London, UK",51.459957,-0.0114171,"198 Lewisham High Street, London, S E13, United Kingdom",198,,Lewisham High Street,S E13,Lewisham,Lewisham,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
63,"Canada yard, Surrey, Commercial Docks, SE16, London, UK",51.499399,-0.1273910483333311,"Westminster Abbey, 20 Dean's Yard, London, SW1P 3PA, United Kingdom",20,Westminster Abbey,Dean's Yard,SW1P 3PA,,Millbank,,London,Greater London,England,ENG,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
64,"Otis Street, Bromley, E3, London, UK",51.5271246,-0.0100389,"Otis Street, London, E3 3DA, United Kingdom",,Otis Street,Otis Street,E3 3DA,London Borough of Tower Hamlets,Bow,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
65,"Trinity Wharf, Rotherhithe Street S.E.16, London, UK",51.49489385,0.044305657823943044,"Trinity Wharf, Harrington Way, London, SE18 5AT, United Kingdom",,Trinity Wharf,Harrington Way,SE18 5AT,Royal Borough of Greenwich,Charlton Riverside,,London,Greater London,England,ENG,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
66,"Trinity Wharf, Rotherhithe Street S.E.16, London, UK",51.49489385,0.044305657823943044,"Trinity Wharf, Harrington Way, London, SE18 5AT, United Kingdom",,Trinity Wharf,Harrington Way,SE18 5AT,Royal Borough of Greenwich,Charlton Riverside,,London,Greater London,England,ENG,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
67,"Trinity Wharf, Rotherhithe Street S.E.16, London, UK",51.49489385,0.044305657823943044,"Trinity Wharf, Harrington Way, London, SE18 5AT, United Kingdom",,Trinity Wharf,Harrington Way,SE18 5AT,Royal Borough of Greenwich,Charlton Riverside,,London,Greater London,England,ENG,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
68,"38 Collent Street, E9, London, UK",51.5439463,-0.0478231,"Collent Street, London, E9 6SG, United Kingdom",,Collent Street,Collent Street,E9 6SG,London Borough of Hackney,Homerton,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
69,"Aberdeen Wharf 94 \Wapping High Street, Tower Hamlets, London E1W 2ND, London, UK",51.5030752,-0.05893539639190759,"Aberdeen Wharf, 94 Wapping High Street, London, E1W 2ND, United Kingdom",94,Aberdeen Wharf,Wapping High Street,E1W 2ND,London Borough of Tower Hamlets,Wapping,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
70,"St. Leonard's Street, Bromley E3, London, UK",51.527733,-0.0134319,"St Leonard's Street, London, E3 3EG, United Kingdom",,St Leonard's Street,St Leonard's Street,E3 3EG,London Borough of Tower Hamlets,Bow,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
71,"St. Paul's Way, E3, London, UK",51.5181214,-0.0262533,"St Paul's Way, London, E3 4QA, United Kingdom",,St Paul's Way,St Paul's Way,E3 4QA,London Borough of Tower Hamlets,Limehouse,,London,Greater London,England,ENG,United Kingdom,gb,0.825,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
72,"Rhodeswell Road, E, London, UK",51.5184799,-0.0349656,"Rhodeswell Road, London, E14 7SX, United Kingdom",,Rhodeswell Road,Rhodeswell Road,E14 7SX,London Borough of Tower Hamlets,Limehouse,,London,Greater London,England,ENG,United Kingdom,gb,0.34232625,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
73,"Timothy Road, Poplar, Greater London E3 4, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
74,"Cavell Street- Stepney E1, London, UK",51.5190457,-0.0576876,"Cavell Street, London, E1 1AA, United Kingdom",,Cavell Street,Cavell Street,E1 1AA,London Borough of Tower Hamlets,Whitechapel,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75,"307 Stepney Way E1, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
76,"391 Mile End Road, E, London, UK",51.525160650000004,-0.035167370183046553,"WJ Meade, 391 Mile End Road, London, E3 4QS, United Kingdom",391,WJ Meade,Mile End Road,E3 4QS,London Borough of Tower Hamlets,Mile End,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
77,"Surbartic House, Larkhall lane, Clapham, SW4, London, UK",51.4710908,-0.1309905,"Larkhall Lane, London, SW4 6RG, United Kingdom",,Larkhall Lane,Larkhall Lane,SW4 6RG,London Borough of Lambeth,Stockwell,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
78,"Folly House Buoy, Blackwall Reach, E, London, UK",51.509648,-0.099076,"London, London Ceremonial County, ENG, United Kingdom",,,,,,,,London,Greater London Ceremonial County,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
79,"Girdlers Road West Kensington w14, London, UK",51.4961487,-0.2162454,"Girdlers Road, London, W14 0PS, United Kingdom",,Girdlers Road,Girdlers Road,W14 0PS,London Borough of Hammersmith and Fulham,Brook Green,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
80,"121 Vauxhall Bridge Road, Pimlico SW1, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
81,"65 Effra Road, Brixton SW2, London, UK",51.4224661,-0.1940266,"65 Effra Road, London, SW19 8PP, United Kingdom",65,,Effra Road,SW19 8PP,Merton,South Wimbledon,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
82,"Summerley Street, Wandworth, SW18, London, UK",51.440482,-0.188716,"Summerley Street, London, S W18, United Kingdom",,,Summerley Street,S W18,Wandsworth,Earlsfield,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
83,"61 Cleaver Street, SE11, London, UK",51.4880908,-0.1099268,"Cleaver Street, London, SE11 4DR, United Kingdom",,Cleaver Street,Cleaver Street,SE11 4DR,London Borough of Lambeth,Kennington,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
84,"5 Ethelred Strret SE11, London, UK",51.5080109,-0.15085580555168965,"11 South Audley Street, London, W1K 2PA, United Kingdom",11,,South Audley Street,W1K 2PA,Westminster,Mayfair,,London,Greater London,England,ENG,United Kingdom,gb,0.29767499999999997,1,0.42525,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
