original_,original_Location,lat,lon,formatted,housenumber,name,street,postcode,district,county_code,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
58,"Plough Way, SE16, London, UK",51.491796,-0.04489,"Plough Way, London, S E16, United Kingdom",,,Plough Way,S E16,Southwark,,Surrey Quays,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
59,"28 Ringstead Road, Catford, SE6, London, UK",51.446479,-0.016742197083749053,"28 Ringstead Road, London, SE6 2BP, United Kingdom",28,,Ringstead Road,SE6 2BP,London Borough of Lewisham,,Hither Green,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
60,"786 Old Kent Road, Camberwell, SE15, London, UK",51.4797844,-0.0573263,"786 Old Kent Road, London, S E15, United Kingdom",786,,Old Kent Road,S E15,Southwark,,Peckham,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
61,"7, Devonshire Grove, SE15, London, UK",51.4810503,-0.0592771,"Devonshire Grove, London, SE15 1JR, United Kingdom",,Devonshire Grove,Devonshire Grove,SE15 1JR,London Borough of Southwark,,Peckham,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
62,"Bromley Road, Catford, SE6, London, UK",51.4065912,-0.0006685,"Bromley Road, London, BR2 0NB, United Kingdom",,Bromley Road,Bromley Road,BR2 0NB,London Borough of Bromley,,Shortlands,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
63,"42 Brown Hill Road, Catford, SE6, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
64,"39 Loampit Vale, Lewisham SE13, London, UK",51.4645495,-0.0142095,"Loampit Vale, London, SE13 7FT, United Kingdom",,Loampit Vale,Loampit Vale,SE13 7FT,London Borough of Lewisham,,Ladywell,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
65,"19 Vivian Roan, Bethnal Green E2, London, UK",51.526864,-0.058509,"Bethnal Green, London, ENG, United Kingdom",,Bethnal Green,,,Tower Hamlets,,Bethnal Green,London,Greater London,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
66,"Milton Court Road, New Cross, Se14, London, UK",51.480914,-0.036679,"Milton Court Road, London, S E14, United Kingdom",,,Milton Court Road,S E14,Lewisham,,New Cross,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
67,"39 Gilmore Road, Lewisham SE13, London, UK",51.460422949999995,-0.006593537441310029,"37A,37,39B Gilmore Road, London, SE13 5AD, United Kingdom","37A,37,39B",,Gilmore Road,SE13 5AD,London Borough of Lewisham,,Hither Green,London,Greater London,England,ENG,United Kingdom,gb,0.48999999999999994,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
68,"3 Drivers Buildings, Mile End Rd E1, London, UK",51.509648,-0.099076,"London, London Ceremonial County, ENG, United Kingdom",,,,,,,,London,Greater London Ceremonial County,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
69,"110, Skidmore Street, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
70,"Royal Arsenal, Woolwich, SE18, London, UK",51.499992,0.028734,"Royal Wharf, London, S E18, United Kingdom",,,Royal Wharf,S E18,Newham,,,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
71,"Royal Arsenal, Woolwich, SE18, London, UK",51.499992,0.028734,"Royal Wharf, London, S E18, United Kingdom",,,Royal Wharf,S E18,Newham,,,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
72,"Royal Arsenal, Woolwich, SE18, London, UK",51.499992,0.028734,"Royal Wharf, London, S E18, United Kingdom",,,Royal Wharf,S E18,Newham,,,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
73,"Royal Arsenal, Woolwich, SE18, London, UK",51.499992,0.028734,"Royal Wharf, London, S E18, United Kingdom",,,Royal Wharf,S E18,Newham,,,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74,"Royal Arsenal, Woolwich, SE18, London, UK",51.499992,0.028734,"Royal Wharf, London, S E18, United Kingdom",,,Royal Wharf,S E18,Newham,,,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75,"Royal Arsenal, Woolwich, SE18, London, UK",51.499992,0.028734,"Royal Wharf, London, S E18, United Kingdom",,,Royal Wharf,S E18,Newham,,,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
76,"Royal Arsenal, Woolwich, SE18, London, UK",51.499992,0.028734,"Royal Wharf, London, S E18, United Kingdom",,,Royal Wharf,S E18,Newham,,,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
77,"Royal Arsenal, Woolwich, SE18, London, UK",51.499992,0.028734,"Royal Wharf, London, S E18, United Kingdom",,,Royal Wharf,S E18,Newham,,,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
78,"Royal Arsenal, Woolwich, SE18, London, UK",51.499992,0.028734,"Royal Wharf, London, S E18, United Kingdom",,,Royal Wharf,S E18,Newham,,,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
79,"Royal Arsenal, Woolwich, SE18, London, UK",51.499992,0.028734,"Royal Wharf, London, S E18, United Kingdom",,,Royal Wharf,S E18,Newham,,,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
80,"Royal Arsenal, Woolwich, SE18, London, UK",51.499992,0.028734,"Royal Wharf, London, S E18, United Kingdom",,,Royal Wharf,S E18,Newham,,,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
81,"Royal Arsenal, Woolwich, SE18, London, UK",51.499992,0.028734,"Royal Wharf, London, S E18, United Kingdom",,,Royal Wharf,S E18,Newham,,,London,Greater London,England,ENG,United Kingdom,gb,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
82,"Bolsoms Ltd.(Furnishing Co.) Lewisham High Street, SE13, London, UK",51.4512271,-0.0168649,"Lewisham High Street, London, SE13 6NZ, United Kingdom",,Lewisham High Street,Lewisham High Street,SE13 6NZ,London Borough of Lewisham,,Ladywell,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
83,"Chiesmans Depository, Lewisham High Street, SE13, London, UK",51.4512271,-0.0168649,"Lewisham High Street, London, SE13 6NZ, United Kingdom",,Lewisham High Street,Lewisham High Street,SE13 6NZ,London Borough of Lewisham,,Ladywell,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
84,"Newby Place, Poplar E14, London, UK",51.5109421,-0.0123666,"Newby Place, London, E14 0EH, United Kingdom",,Newby Place,Newby Place,E14 0EH,London Borough of Tower Hamlets,,Poplar,London,Greater London,England,ENG,United Kingdom,gb,0.49965517241379315,0.7,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
85,"Old Tram Yard, Lakedale Road, Plumstead, SE18, London, UK",51.485125,0.091106,"Lakedale Road, London, S E18, United Kingdom",,,Lakedale Road,S E18,Greenwich,,Plumstead,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
86,"Old Tram Yard, Lakedale Road, Plumstead, Se18, London, UK",51.485125,0.091106,"Lakedale Road, London, S E18, United Kingdom",,,Lakedale Road,S E18,Greenwich,,Plumstead,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
87,"Lakedale Road and plumstead High Street SE18, London, UK",,,,,,,,,,,,,,,,,,,,,,
88,"70 Croft Street Deptford, SE8, London, UK",51.490719,-0.041201,"Croft Street, London, United Kingdom",,,Croft Street,,Lewisham,,Deptford,London,Greater London,England,ENG,United Kingdom,gb,0.33333333333333337,1,0.6666666666666667,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
89,"41 Windmill Lane, Deptford, Se8, London, UK",51.5455596,0.0020207,"41 Windmill Lane, London, E15 1PZ, United Kingdom",41,,Windmill Lane,E15 1PZ,Newham,,Stratford,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
90,"61 Basildon Road Abbey Wood, SE2, London, UK",51.4860733,0.1071688,"Basildon Road, London, SE2 0ET, United Kingdom",,Basildon Road,Basildon Road,SE2 0ET,Royal Borough of Greenwich,,Abbey Wood,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
